Rank,Stock,Code,Score,Tags,Investor,InvCount,Price,MCap_Cr,PE,PB,ROE,ROCE,DE,DivYld,EPS_Gr,Rev_Gr,Promoter,Pledge,Sector
304,Poona Dal & Oil,POONADAL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
305,Prakash Woollen,PWASML,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
306,Quadrant Future Tek,QUADFUTURE,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
307,Qualitek Labs,16691851,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
308,Rap Corp,RAP,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
309,Rapicut Carbides,RAPICUT,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
310,Rasandik Engineering,RASANDIK,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
311,Rathi Bars,RATHIBAR,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
312,Raunaq EPC Intl,RAUNAQEPC,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
313,Regency Fincorp,REGENCY,0,No Data,Anil Kumar Goel,1,,,,,,,,,,,,,
314,Riba Textiles,RIBATEX,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
315,Rishi Laser,RISHILASE,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
316,Rishi Techtex,RISHIPACK,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
317,SG Finserve,SGFIN,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
318,Saboo Sodium Chloro,SABOOSOD,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
319,Saffron Industries,SAFFRON,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
320,Sanjivani paranteral,SANJIVIN,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
321,Seasons Textiles,SEASONST,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
322,Service Care,SERVICE,0,No Data,Ajay Upadhyaya,1,,,,,,,,,,,,,
323,Shiva Granito Export,SHIVAEXPO,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
324,Shree Hari Chemicals,SHHARICH,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
325,Shree OSFM E-Mobility,SHREEOSFM,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
326,Shree Rajasthan Syntex,SHRERAJSYN,0,No Data,Anil Kumar Goel,1,,,,,,,,,,,,,
327,Shree Refrigerations,17160478,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
328,Shri Vasuprada,JOONKTOLL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
329,Simran Farms,SIMRAN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
330,Spice Islands,SPICEISL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
331,Sudal Industries,SUDAI,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
332,Sunil Industries,SUNILTX,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
333,Sunshield Chemicals,SUNSHIEL,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
334,Superior Industrial,519234,0,No Data,Sunil Singhania,1,,,,,,,,,,,,,
335,Suryaamba Spinning Mills,SURYAAMBA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
336,T & I Global,TIGLOB,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
337,TCM,TCMLMTD,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
338,Tai Industries,TAIIND,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
339,Tamboli Industries,TAMBOLI,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
340,Tanfac Industries,TANFACIND,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
341,Tarapur Transformers,TARAPUR,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
342,Terai Tea Company,TERAI,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
343,Thomas Scott,THOMASCOTT,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
344,Thrive Future Habitats,ADORMUL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
345,Triveni Glass,TRIVENSHET,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
346,Tyche Industries,TYCHE,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
347,Tyroon Tea Company,TYROON,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
348,Unick Fix-A-Form,541503,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
349,Uniroyal Industries,UNIROYAL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
350,Universal Autofoundry,UNIAUTO,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
351,Universal Starch-chem,UNIVSTAR,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
352,V-Marc,VMARCIND,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
353,Veejay Lakshmi,VJLAXMIE,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
354,Virat Crane,VIRATCRA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
355,Vistar Amar,SHUBHRA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
356,Voltaire Leasing,VOLLF,0,No Data,Vijay Kedia,1,,,,,,,,,,,,,
357,WEP Solutions,WEPSOLN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
358,WPIL,WPIL,0,No Data,Porinju Veliyath,1,,,,,,,,,,,,,
359,Walchandnagar Ind,WALCHANNAG,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
360,Zenith Fibres,ZENIFIB,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
